assembly_accession	sample_name	GenomeID	haplotype	GenHapID
GCA_042030695.1	HG02976_mat	HG02976	Hap2	HG02976_Hap2
GCA_042031485.1	HG03130_mat	HG03130	Hap2	HG03130_Hap2
GCA_042030635.1	HG03195_mat	HG03195	Hap2	HG03195_Hap2
GCA_042031355.1	HG03209_mat	HG03209	Hap2	HG03209_Hap2
GCA_042030975.1	NA18522_mat	NA18522	Hap2	NA18522_Hap2
GCA_042031405.1	NA18747_mat	NA18747	Hap2	NA18747_Hap2
GCA_042031415.1	NA18971_mat	NA18971	Hap2	NA18971_Hap2
GCA_042031955.1	NA18983_mat	NA18983	Hap2	NA18983_Hap2
GCA_042030595.1	NA19043_mat	NA19043	Hap2	NA19043_Hap2
GCA_042032335.1	NA20905_mat	NA20905	Hap2	NA20905_Hap2
GCA_042034145.1	HG01530_mat	HG01530	Hap2	HG01530_Hap2
GCA_042034175.1	HG01784_mat	HG01784	Hap2	HG01784_Hap2
GCA_042034155.1	HG02391_mat	HG02391	Hap2	HG02391_Hap2
GCA_042034105.1	HG03471_mat	HG03471	Hap2	HG03471_Hap2
GCA_042034195.1	HG03742_mat	HG03742	Hap2	HG03742_Hap2
GCA_042034465.1	NA18570_mat	NA18570	Hap2	NA18570_Hap2
GCA_042034505.1	NA19087_mat	NA19087	Hap2	NA19087_Hap2
GCA_042034525.1	NA19185_mat	NA19185	Hap2	NA19185_Hap2
GCA_042034585.1	NA19338_mat	NA19338	Hap2	NA19338_Hap2
GCA_042034575.1	NA19391_mat	NA19391	Hap2	NA19391_Hap2
GCA_042035175.1	NA19468_mat	NA19468	Hap2	NA19468_Hap2
GCA_018471515.2	HG00438_mat	HG00438	Hap2	HG00438_Hap2
GCA_042036935.1	HG00558_mat	HG00558	Hap2	HG00558_Hap2
GCA_042037155.1	HG00639_mat	HG00639	Hap2	HG00639_Hap2
GCA_042037715.1	HG00658_mat	HG00658	Hap2	HG00658_Hap2
GCA_018472565.2	HG00673_mat	HG00673	Hap2	HG00673_Hap2
GCA_018472685.2	HG01071_mat	HG01071	Hap2	HG01071_Hap2
GCA_042037735.1	HG01074_mat	HG01074	Hap2	HG01074_Hap2
GCA_042037225.1	HG01081_mat	HG01081	Hap2	HG01081_Hap2
GCA_018469665.2	HG01123_mat	HG01123	Hap2	HG01123_Hap2
GCA_042037355.1	HG01150_mat	HG01150	Hap2	HG01150_Hap2
GCA_042038095.1	HG01252_mat	HG01252	Hap2	HG01252_Hap2
GCA_018469865.2	HG01358_mat	HG01358	Hap2	HG01358_Hap2
GCA_018469685.2	HG01361_mat	HG01361	Hap2	HG01361_Hap2
GCA_018472695.2	HG01928_mat	HG01928	Hap2	HG01928_Hap2
GCA_042038345.1	HG01934_mat	HG01934	Hap2	HG01934_Hap2
GCA_042037435.1	HG01940_mat	HG01940	Hap2	HG01940_Hap2
GCA_042037445.1	HG01960_mat	HG01960	Hap2	HG01960_Hap2
GCA_042037555.1	HG01969_mat	HG01969	Hap2	HG01969_Hap2
GCA_018472865.2	HG01978_mat	HG01978	Hap2	HG01978_Hap2
GCA_042036105.1	HG02071_mat	HG02071	Hap2	HG02071_Hap2
GCA_042036205.1	HG02074_mat	HG02074	Hap2	HG02074_Hap2
GCA_042036245.1	HG02135_mat	HG02135	Hap2	HG02135_Hap2
GCA_018466845.2	HG02257_mat	HG02257	Hap2	HG02257_Hap2
GCA_042038585.1	HG02668_mat	HG02668	Hap2	HG02668_Hap2
GCA_018469935.2	HG02717_mat	HG02717	Hap2	HG02717_Hap2
GCA_042036255.1	HG02809_mat	HG02809	Hap2	HG02809_Hap2
GCA_042038595.1	HG03017_mat	HG03017	Hap2	HG03017_Hap2
GCA_042037625.1	HG03041_mat	HG03041	Hap2	HG03041_Hap2
GCA_042037705.1	HG03239_mat	HG03239	Hap2	HG03239_Hap2
GCA_018469425.2	HG03516_mat	HG03516	Hap2	HG03516_Hap2
GCA_042036285.1	HG03804_mat	HG03804	Hap2	HG03804_Hap2
GCA_042036275.1	HG03942_mat	HG03942	Hap2	HG03942_Hap2
GCA_042036305.1	HG04157_mat	HG04157	Hap2	HG04157_Hap2
GCA_042036395.1	HG04160_mat	HG04160	Hap2	HG04160_Hap2
GCA_042036425.1	HG04204_mat	HG04204	Hap2	HG04204_Hap2
GCA_042036915.1	HG04228_mat	HG04228	Hap2	HG04228_Hap2
GCA_046116005.1	HG00706_mat	HG00706	Hap2	HG00706_Hap2
GCA_046116015.1	HG03816_mat	HG03816	Hap2	HG03816_Hap2
GCA_042076545.1	HG00423_mat	HG00423	Hap2	HG00423_Hap2
GCA_042076565.1	HG00544_mat	HG00544	Hap2	HG00544_Hap2
GCA_042076535.1	HG01943_mat	HG01943	Hap2	HG01943_Hap2
